category,id,dataset_split,model,training,attack,status,priority,gpu_hours_estimate,why
A_training,TR-NSLSR-small-random_swir_aug,NSLSR-safesplit,small,random_swir_aug,,MISSING (no run dir),P1,2.5,matched random control for the small model; lets you show the D3/D5 win is not a model-size artifact
A_training,TR-NSLSR-small-snua_at,NSLSR-safesplit,small,snua_at,,MISSING (no run dir),P1,2.5,does the SWIR-AT gain hold when moving from nano to small? Currently only nano is tested
A_training,TR-NSLSR-small-mixed_swir_at,NSLSR-safesplit,small,mixed_swir_at,,MISSING (no run dir),P1,3.0,D5 is the papers best defense -- needs a size ablation. Currently only nano
A_training,TR-NSLSR-nano-aria_at,NSLSR-safesplit,nano,aria_at,,MISSING (no run dir),P3,1.5,D4 branch is coded (build_scheduler) but never launched; only needed if ARIA becomes a real threat at strong severity
A_training,TR-NSLSR-nano-combined_at,NSLSR-safesplit,nano,combined_at,,MISSING (no run dir),P2,1.5,no D6 in the codebase yet -- adversarial training with the combined attack alone. Distinct from D5s mixed schedule; a fair baseline for whether the mixed schedule is better than pure combined-AT
A_training,TR-RASMD-nano-random_swir_aug,RASMD,nano,random_swir_aug,,MISSING (no run dir),P1,1.5,"RASMD has ZERO SWIR-domain defenses. Without D2 baseline, no RASMD SWIR robustness claim can be made"
A_training,TR-RASMD-nano-snua_at,RASMD,nano,snua_at,,MISSING (no run dir),P1,1.5,does SNUA-AT transfer to the 6-class RASMD? Only NSLSR-safesplit has it
A_training,TR-RASMD-nano-mixed_swir_at,RASMD,nano,mixed_swir_at,,MISSING (no run dir),P1,1.5,"external validity of D5 -- second dataset, six classes vs one, different sensor -- confirms/rebuts the finding"
A_training,TR-RASMD-small-random_swir_aug,RASMD,small,random_swir_aug,,MISSING (no run dir),P2,3.0,small-model + RASMD SWIR baseline
A_training,TR-RASMD-small-snua_at,RASMD,small,snua_at,,MISSING (no run dir),P2,3.0,cross-dataset AND cross-model SWIR-AT check
A_training,TR-RASMD-small-mixed_swir_at,RASMD,small,mixed_swir_at,,MISSING (no run dir),P2,3.0,the strongest cross-dataset generalisation test for D5
B_eval,EV-RASMD-nano-standard-aria_medium,RASMD,nano,standard,aria_medium,"MISSING (checkpoint yolo26n_rasmd exists, never attacked with SWIR)",P1,0.04,RASMD has never been probed with any SWIR-domain attack -- the whole SWIR-attack paper claim is single-dataset without this
B_eval,EV-RASMD-nano-standard-combined_medium,RASMD,nano,standard,combined_medium,"MISSING (checkpoint yolo26n_rasmd exists, never attacked with SWIR)",P1,0.04,RASMD has never been probed with any SWIR-domain attack -- the whole SWIR-attack paper claim is single-dataset without this
B_eval,EV-RASMD-nano-standard-snua_go_medium,RASMD,nano,standard,snua_go_medium,"MISSING (checkpoint yolo26n_rasmd exists, never attacked with SWIR)",P1,0.04,RASMD has never been probed with any SWIR-domain attack -- the whole SWIR-attack paper claim is single-dataset without this
B_eval,EV-RASMD-nano-standard-snua_go_weak,RASMD,nano,standard,snua_go_weak,"MISSING (checkpoint yolo26n_rasmd exists, never attacked with SWIR)",P1,0.04,RASMD has never been probed with any SWIR-domain attack -- the whole SWIR-attack paper claim is single-dataset without this
B_eval,EV-RASMD-nano-adversarial-aria_medium,RASMD,nano,adversarial,aria_medium,"MISSING (checkpoint yolo26n_rasmd_pgd exists, never attacked with SWIR)",P1,0.04,RASMD has never been probed with any SWIR-domain attack -- the whole SWIR-attack paper claim is single-dataset without this
B_eval,EV-RASMD-nano-adversarial-combined_medium,RASMD,nano,adversarial,combined_medium,"MISSING (checkpoint yolo26n_rasmd_pgd exists, never attacked with SWIR)",P1,0.04,RASMD has never been probed with any SWIR-domain attack -- the whole SWIR-attack paper claim is single-dataset without this
B_eval,EV-RASMD-nano-adversarial-snua_go_medium,RASMD,nano,adversarial,snua_go_medium,"MISSING (checkpoint yolo26n_rasmd_pgd exists, never attacked with SWIR)",P1,0.04,RASMD has never been probed with any SWIR-domain attack -- the whole SWIR-attack paper claim is single-dataset without this
